PLAYER,Country,Year,ScoringAvg,BirdieAvg,DrivingDistance,TotalDriving,GIR%,Scrambling,SG_Total,SG_ApproachGreen,SG_Putting,SG_OffTee,SG_AroundGreen,SG_TeeToGreen,Top10Finishes,#Wins,FedExCupPoints,WorldRank,Money
Kevin Streelman,USA,2019,70.763,3.77,291.8,142.0,69.75,59.86,0.669,0.479,-0.251,0.383,0.058,0.919,4,0,609,1.45,1588881
Jhonattan Vegas,VEN,2019,70.765,3.97,308.3,158.0,69.29,57.54,0.626,0.219,-0.156,0.753,-0.19,0.782,3,0,538,1.3,1566910
Corey Conners,CAN,2019,70.775,3.79,297.3,108.0,73.06,56.12,0.62,0.665,-0.576,0.653,-0.123,1.196,4,1,962,1.91,2919864
Rafa Cabrera Bello,ESP,2019,70.78,4.0,289.6,201.0,62.99,59.16,0.419,0.089,0.043,0.18,0.107,0.376,2,0,696,2.8,1926935
Aaron Baddeley,AUS,2019,70.783,3.78,286.3,319.0,63.33,65.84,0.313,-0.34,0.654,-0.46,0.46,-0.34,3,0,428,0.79,904982
Cameron Tringale,USA,2019,70.796,4.14,296.9,194.0,69.66,61.13,0.546,0.327,0.204,-0.108,0.123,0.342,2,0,459,0.59,1049106
Matt Jones,AUS,2019,70.81,3.71,294.1,192.0,66.6,64.55,0.628,-0.148,0.12,0.304,0.352,0.508,2,0,423,0.92,1024852
Emiliano Grillo,ARG,2019,70.814,3.76,295.7,112.0,68.73,55.13,0.418,0.926,-0.633,0.47,-0.345,1.051,2,0,673,1.98,1752114
Cameron Smith,AUS,2019,70.814,3.7,294.2,233.0,63.66,60.74,0.324,0.004,0.157,-0.123,0.286,0.167,3,0,547,2.6,1504820
Adam Schenk,USA,2019,70.817,3.97,300.8,162.0,68.61,60.71,0.487,0.142,0.341,0.08,-0.075,0.146,3,0,524,0.78,1257158
Danny Willett,ENG,2019,70.828,3.63,293.8,236.0,66.23,58.75,0.383,0.25,-0.13,0.108,0.154,0.513,2,0,432,2.17,1286737
Johnson Wagner,USA,2019,70.847,4.0,283.4,212.0,71.55,57.91,0.005,-0.015,0.488,-0.2,-0.268,-0.483,1,0,312,0.6,597792
Keegan Bradley,USA,2019,70.849,3.68,298.5,111.0,68.5,59.14,0.147,0.567,-0.516,0.238,-0.142,0.663,3,0,700,2.88,1902797
Martin Laird,SCO,2019,70.866,3.59,298.9,141.0,69.86,61.06,0.223,0.075,0.019,0.1,0.029,0.204,4,0,401,0.74,863054
Russell Henley,USA,2019,70.874,3.64,287.7,168.0,68.1,62.69,0.167,0.334,-0.299,0.137,-0.005,0.466,1,0,534,1.07,1133773
Jonas Blixt,SWE,2019,70.875,3.7,289.4,206.0,65.13,59.75,0.122,-0.039,0.13,-0.003,0.034,-0.008,1,0,392,0.71,838271
Ryan Armour,USA,2019,70.888,3.76,277.9,188.0,67.57,63.87,0.19,-0.002,0.19,-0.103,0.106,0.001,1,0,434,1.0,955468
Mackenzie Hughes,CAN,2019,70.907,3.71,297.2,222.0,65.28,61.05,-0.044,0.032,-0.014,-0.068,0.006,-0.03,2,0,466,0.84,1022081
Sebastián Muñoz,COL,2019,70.907,4.04,298.8,194.0,68.26,58.21,0.343,0.054,0.076,-0.048,0.261,0.268,3,0,383,0.83,946666
Nick Watney,USA,2019,70.908,3.96,301.7,182.0,68.61,59.49,0.133,0.071,0.012,0.01,0.04,0.121,3,0,460,1.07,1008964
Kiradech Aphibarnrat,THA,2019,70.911,3.52,292.4,187.0,61.65,64.02,0.083,-0.433,0.337,-0.015,0.194,-0.254,3,0,558,1.95,1630073
Sam Ryder,USA,2019,70.912,3.97,293.9,171.0,67.98,62.89,0.462,0.158,0.427,0.038,-0.161,0.035,2,0,458,0.8,1060735
Joel Dahmen,USA,2019,70.932,3.89,292.4,130.0,66.72,57.39,0.085,0.141,-0.102,0.249,-0.204,0.187,2,0,716,1.54,1949958
Troy Merritt,USA,2019,70.95,4.25,293.3,152.0,68.85,58.77,0.421,0.366,0.085,-0.054,0.041,0.336,4,0,569,1.34,1531143
Shawn Stefani,USA,2019,70.958,3.87,295.9,182.0,69.96,61.56,0.093,0.421,-0.159,-0.303,0.133,0.252,2,0,374,0.59,798831
Scott Brown,USA,2019,70.96,3.59,288.6,206.0,66.53,60.73,-0.004,-0.083,0.073,0.199,-0.194,-0.077,4,0,433,0.6,999457
Si Woo Kim,KOR,2019,70.963,4.12,292.4,192.0,64.91,63.51,0.134,-0.177,-0.06,0.066,0.305,0.194,5,0,832,1.96,2191808
C.T. Pan,TPE,2019,70.966,3.49,285.0,234.0,64.16,63.71,0.059,0.054,-0.062,-0.114,0.18,0.12,2,1,900,2.39,2362399
Francesco Molinari,ITA,2019,70.974,3.2,288.7,191.0,63.58,62.99,0.038,0.04,-0.211,0.105,0.105,0.25,3,1,1054,6.04,3467143
Ryan Moore,USA,2019,70.974,3.91,282.2,179.0,68.17,59.2,0.826,0.596,0.062,0.114,0.055,0.765,2,0,690,1.74,1838788
Josh Teater,USA,2019,70.983,3.91,292.0,190.0,70.48,59.27,0.262,0.361,-0.017,0.081,-0.162,0.279,2,0,296,0.67,663570
Sepp Straka,AUT,2019,70.987,4.19,304.4,96.0,69.06,54.61,0.552,0.309,0.056,0.378,-0.191,0.496,1,0,432,0.88,934894
Sam Burns,USA,2019,70.995,3.72,307.2,178.0,64.74,59.6,0.05,-0.293,0.369,0.277,-0.304,-0.32,3,0,493,1.14,1117312
Danny Lee,NZL,2019,70.997,3.91,301.4,207.0,66.74,58.97,-0.137,0.156,-0.24,0.085,-0.139,0.102,3,0,625,1.1,1524126
Brian Stuard,USA,2019,70.999,3.69,276.6,193.0,64.89,64.31,0.393,0.266,0.176,-0.239,0.19,0.217,3,0,547,0.99,1320637
Hank Lebioda,USA,2019,71.002,4.13,294.0,152.0,69.21,56.44,0.167,0.281,-0.28,0.085,0.081,0.447,1,0,291,0.5,656802
Brian Harman,USA,2019,71.016,3.52,288.4,172.0,64.17,60.1,0.346,-0.301,0.09,0.312,0.245,0.256,4,0,509,1.46,1342778
Kevin Tway,USA,2019,71.02,3.56,303.8,201.0,67.01,61.05,0.143,0.124,-0.131,-0.099,0.249,0.274,2,1,863,1.54,2300050
Keith Mitchell,USA,2019,71.021,3.88,303.2,153.0,67.34,57.17,0.254,0.037,-0.338,0.657,-0.102,0.592,3,1,884,1.86,2405360
Dominic Bozzelli,USA,2019,71.023,4.16,296.4,204.0,66.92,58.65,-0.15,-0.766,0.847,-0.236,0.005,-0.997,2,0,316,0.43,668449
Roger Sloan,CAN,2019,71.034,3.9,295.8,186.0,65.08,58.9,0.02,0.096,0.101,-0.072,-0.105,-0.081,3,0,489,0.79,1015661
J.J. Spaun,USA,2019,71.034,3.82,290.4,200.0,68.36,59.53,0.03,0.094,-0.021,-0.046,0.003,0.051,2,0,479,0.93,1205977
Bill Haas,USA,2019,71.056,3.57,291.5,230.0,64.65,61.73,0.153,-0.169,0.055,-0.083,0.35,0.098,2,0,312,0.51,730806
Pat Perez,USA,2019,71.059,3.77,286.1,226.0,65.32,61.76,0.288,-0.085,0.535,-0.498,0.335,-0.248,3,0,376,0.99,1103241
Brice Garnett,USA,2019,71.067,3.76,287.4,161.0,69.54,58.15,-0.034,-0.253,0.091,0.281,-0.153,-0.125,2,0,466,0.95,1019594
Carlos Ortiz,MEX,2019,71.069,3.52,301.0,142.0,67.82,58.95,0.125,-0.072,0.079,0.177,-0.06,0.046,3,0,428,0.74,1073962
Kyle Stanley,USA,2019,71.094,3.41,288.9,160.0,67.47,58.65,-0.013,0.309,-0.297,0.037,-0.062,0.285,1,0,460,1.97,1117604
Sung Kang,KOR,2019,71.101,3.65,300.5,166.0,66.14,59.96,0.03,0.036,-0.088,0.165,-0.083,0.118,4,1,986,1.79,2801650
Richy Werenski,USA,2019,71.104,3.66,293.6,217.0,65.93,60.31,-0.147,-0.163,0.074,0.057,-0.114,-0.221,1,0,374,0.7,851329
Max Homa,USA,2019,71.11,3.54,300.2,208.0,65.14,58.37,0.082,0.179,-0.006,0.213,-0.304,0.087,2,1,742,1.43,2063606
Roberto Castro,USA,2019,71.127,3.71,283.8,207.0,68.44,62.35,0.009,0.432,-0.079,-0.382,0.039,0.088,2,0,312,0.52,674250
Kevin Na,USA,2019,71.144,3.42,289.6,204.0,64.44,58.85,0.087,-0.076,0.089,-0.282,0.355,-0.002,3,1,815,3.0,2257309
Austin Cook,USA,2019,71.201,3.94,291.0,129.0,65.71,56.96,-0.319,-0.095,-0.088,0.236,-0.372,-0.232,2,0,364,0.88,837788
Luke List,USA,2019,71.223,3.73,313.3,185.0,65.43,54.59,0.202,-0.005,-0.28,0.481,0.006,0.482,4,0,497,1.59,1391408
Wes Roach,USA,2019,71.228,3.65,294.1,147.0,67.64,62.94,0.165,-0.11,0.0,0.079,0.197,0.166,2,0,345,0.7,860264
Andrew Landry,USA,2019,71.265,3.84,286.8,165.0,67.12,60.27,-0.011,0.2,-0.153,0.185,-0.244,0.142,1,0,388,1.07,887405
Patton Kizzire,USA,2019,71.292,3.61,294.9,210.0,63.96,57.92,-0.098,-0.132,0.642,-0.489,-0.12,-0.74,1,0,406,1.0,995341
Bronson Burgoon,USA,2019,71.295,3.76,296.1,126.0,67.98,56.78,-0.344,-0.033,-0.291,0.054,-0.074,-0.053,2,0,343,0.92,814673
Ryan Blaum,USA,2019,71.302,3.77,289.2,234.0,64.97,60.54,-0.145,-0.292,0.194,-0.052,0.006,-0.338,1,0,323,0.49,755802
K.H. Lee,KOR,2019,71.307,3.73,286.2,216.0,67.66,57.67,-0.107,-0.011,-0.096,0.125,-0.124,-0.011,2,0,453,0.68,1061457
Phil Mickelson,USA,2019,71.331,3.92,306.3,204.0,64.17,54.26,-0.438,-0.065,-0.16,-0.307,0.094,-0.278,2,1,903,2.87,2440221
Jason Dufner,USA,2019,71.336,3.68,290.1,160.0,70.76,54.88,-0.015,0.091,-0.494,0.264,0.124,0.479,2,0,327,0.99,926365
Brian Gay,USA,2019,71.356,3.52,274.9,198.0,64.36,61.65,-0.278,-0.392,0.335,-0.286,0.065,-0.613,2,0,415,0.84,1029440
Charley Hoffman,USA,2019,71.361,3.49,295.6,237.0,66.51,54.27,0.057,0.396,-0.158,0.049,-0.23,0.216,2,0,567,1.41,1468855
Patrick Rodgers,USA,2019,71.365,3.67,299.8,213.0,64.71,57.1,0.231,-0.383,0.428,0.157,0.029,-0.197,1,0,459,0.72,1046838
Cameron Champ,USA,2019,71.393,4.12,317.9,176.0,69.3,52.14,-0.374,-0.335,-0.099,0.657,-0.597,-0.276,3,1,639,0.99,1695748
Branden Grace,RSA,2019,71.421,3.4,295.1,252.0,66.09,55.18,-0.107,0.11,-0.52,0.024,0.278,0.413,2,0,495,1.75,1373185
Scott Stallings,USA,2019,71.443,3.78,297.0,214.0,66.74,58.46,-0.078,0.259,-0.329,0.009,-0.017,0.251,2,0,452,0.92,1080451
Chesson Hadley,USA,2019,71.453,3.46,297.6,200.0,64.64,59.66,-0.128,0.231,0.23,-0.336,-0.252,-0.357,3,0,532,1.23,1405632
Adam Long,USA,2019,71.464,3.22,292.0,158.0,65.28,58.74,-0.418,0.138,-0.369,-0.036,-0.151,-0.049,2,1,719,1.2,1648007
Peter Uihlein,USA,2019,71.512,3.77,297.5,251.0,66.03,58.7,-0.181,-0.168,0.345,-0.442,0.085,-0.526,2,0,353,0.9,842991
Kelly Kraft,USA,2019,71.529,3.64,290.2,235.0,62.41,56.57,-0.715,-0.189,0.054,-0.307,-0.273,-0.769,3,0,399,0.96,905681
Robert Streb,USA,2019,71.629,3.43,288.7,260.0,66.13,60.36,-0.424,-0.053,-0.237,-0.256,0.122,-0.187,2,0,372,0.81,796525
Chris Stroud,USA,2019,71.644,3.44,289.8,279.0,62.99,59.81,-0.729,-0.229,0.022,-0.557,0.035,-0.752,4,0,473,0.8,1075552
J.B. Holmes,USA,2019,71.735,3.76,306.7,185.0,65.57,57.5,-0.45,0.079,-0.752,0.21,0.012,0.302,2,1,815,2.08,2147065
Jim Herman,USA,2019,71.75,3.58,288.3,161.0,66.2,55.48,-0.386,-0.11,-0.154,0.203,-0.325,-0.232,1,1,321,0.66,678185
Seamus Power,IRL,2019,72.026,3.22,295.9,252.0,62.19,61.02,-0.719,-0.676,0.057,-0.247,0.147,-0.776,2,0,308,0.52,773976
"Ted Potter, Jr.",USA,2019,72.214,3.82,281.4,263.0,66.35,54.42,-0.944,-0.14,-0.216,-0.253,-0.335,-0.727,1,0,291,0.8,757721
Martin Trainer,FRA,2019,72.343,3.44,303.8,211.0,60.47,56.68,-1.431,-1.378,-0.041,-0.075,0.063,-1.39,1,1,354,0.77,692155
Webb Simpson,USA,2020,68.978,4.67,296.2,125.0,70.83,64.47,1.597,0.64,0.589,0.123,0.244,1.007,8,2,1878,7.04,5097742
Jon Rahm,ESP,2020,69.127,4.22,307.6,78.0,70.31,64.52,1.823,0.283,0.479,0.756,0.304,1.344,8,2,1295,9.97,5959819
Justin Thomas,USA,2020,69.128,4.55,304.2,179.0,69.61,63.16,1.709,0.997,-0.031,0.405,0.339,1.741,10,3,2458,8.63,7344040
Rory McIlroy,NIR,2020,69.219,4.2,314.0,159.0,67.78,60.63,1.243,0.504,-0.071,0.702,0.108,1.314,7,1,1327,7.9,4408415
Xander Schauffele,USA,2020,69.227,4.24,305.4,128.0,70.87,66.49,1.605,0.366,0.366,0.648,0.225,1.239,7,0,1258,6.4,3813636
Daniel Berger,USA,2020,69.237,4.38,300.2,119.0,66.93,67.45,1.56,0.396,0.526,0.366,0.271,1.034,7,1,1347,5.01,4439420
Bryson DeChambeau,USA,2020,69.241,4.42,322.1,141.0,68.46,63.92,1.566,-0.09,0.658,1.039,-0.041,0.908,9,1,1657,5.99,4998495
Dustin Johnson,USA,2020,69.323,4.35,311.0,128.0,69.27,60.52,1.409,0.524,0.271,0.612,0.002,1.138,7,3,1071,10.28,5837267
Harris English,USA,2020,69.496,4.03,300.9,142.0,70.91,65.33,1.467,0.454,0.518,0.215,0.279,0.948,6,0,867,2.43,3299366
Tyrrell Hatton,ENG,2020,69.507,4.55,301.6,133.0,69.31,58.62,1.431,0.694,0.365,0.188,0.184,1.066,6,1,1025,4.85,3434867
Patrick Reed,USA,2020,69.586,4.23,296.0,264.0,65.32,63.64,1.295,0.102,0.599,0.278,0.316,0.696,8,1,1426,5.86,4250060
Scottie Scheffler,USA,2020,69.709,4.35,308.9,100.0,69.04,60.61,1.078,0.398,-0.053,0.618,0.115,1.131,7,0,900,3.55,2833438
Patrick Cantlay,USA,2020,69.764,4.15,303.1,154.0,68.36,59.54,1.316,0.523,0.219,0.404,0.17,1.097,3,0,745,5.24,2118336
Hideki Matsuyama,JPN,2020,69.766,4.04,304.4,183.0,68.54,63.72,0.964,0.69,-0.469,0.285,0.458,1.433,5,0,1030,4.21,3665825
Collin Morikawa,USA,2020,69.856,4.05,297.3,128.0,69.03,59.42,1.231,0.884,-0.099,0.44,0.005,1.33,7,2,1902,7.72,5250868
Abraham Ancer,MEX,2020,69.892,3.8,297.5,137.0,66.97,64.77,0.897,0.335,0.328,0.328,-0.093,0.569,4,0,1099,3.92,2903306
Gary Woodland,USA,2020,69.93,4.06,305.4,132.0,68.19,60.0,0.783,0.601,0.34,0.052,-0.21,0.443,6,0,741,3.89,2195131
Adam Scott,AUS,2020,69.977,3.79,308.1,180.0,68.13,60.09,0.905,0.268,0.269,-0.056,0.424,0.636,1,1,726,5.32,2272434
Sungjae Im,KOR,2020,69.987,4.15,300.5,111.0,67.08,62.12,0.784,0.106,0.233,0.437,0.007,0.551,7,1,1633,3.9,4337811
Tony Finau,USA,2020,69.992,4.19,309.8,197.0,68.83,60.89,1.243,0.497,0.14,0.341,0.266,1.103,7,0,907,4.65,2932286
Brian Harman,USA,2020,70.041,3.97,293.0,191.0,65.67,64.94,0.767,-0.018,0.308,0.115,0.362,0.459,1,0,480,1.46,1482583
Viktor Hovland,NOR,2020,70.06,3.97,299.3,131.0,68.47,56.67,0.789,0.633,-0.048,0.447,-0.243,0.837,3,1,842,3.4,1982275
Matt Fitzpatrick,ENG,2020,70.07,3.67,294.7,159.0,66.05,58.79,1.067,0.094,0.88,0.206,-0.113,0.187,5,0,602,4.3,2109709
Alex Noren,SWE,2020,70.127,3.88,296.0,239.0,64.78,63.66,0.651,0.039,0.4,-0.231,0.443,0.252,4,0,428,1.56,1274003
Ian Poulter,ENG,2020,70.14,3.71,286.8,278.0,62.62,62.23,0.689,0.137,0.687,-0.188,0.053,0.002,1,0,392,2.13,1034334
Brendon Todd,USA,2020,70.151,3.91,282.7,191.0,65.5,66.1,0.397,-0.119,0.498,-0.073,0.092,-0.101,4,2,1316,2.74,3390258
Russell Henley,USA,2020,70.157,3.6,290.1,185.0,71.69,65.42,0.853,0.867,-0.188,-0.049,0.224,1.041,4,0,352,1.32,1195378
Jason Day,AUS,2020,70.163,3.75,299.7,231.0,64.78,62.8,0.843,-0.151,0.216,0.146,0.632,0.628,5,0,653,2.89,1943898
Ryan Palmer,USA,2020,70.196,3.99,299.3,178.0,65.93,59.95,0.387,0.362,-0.272,0.28,0.017,0.659,5,0,838,3.0,2724926
Billy Horschel,USA,2020,70.209,3.92,299.3,136.0,66.17,56.34,0.771,-0.033,0.423,0.286,0.095,0.348,6,0,893,3.18,2383908
Tommy Fleetwood,ENG,2020,70.259,3.88,309.6,96.0,67.22,56.36,0.556,-0.378,0.437,0.389,0.107,0.119,1,0,380,4.53,1025676
Shane Lowry,IRL,2020,70.265,3.66,299.4,163.0,69.44,62.4,0.322,0.354,-0.356,0.203,0.122,0.678,1,0,283,3.58,781326
Harold Varner III,USA,2020,70.297,4.01,301.9,128.0,70.57,58.93,0.93,0.442,-0.215,0.458,0.244,1.145,1,0,457,1.4,1060152
Brendan Steele,USA,2020,70.302,3.86,303.6,142.0,68.14,58.31,0.708,0.539,0.126,0.081,-0.038,0.582,3,0,669,1.52,1739131
Bud Cauley,USA,2020,70.308,3.34,290.5,268.0,65.57,64.29,0.638,0.322,0.052,-0.116,0.38,0.586,2,0,443,1.22,1042100
Bubba Watson,USA,2020,70.308,3.67,311.0,145.0,67.68,58.07,0.711,0.208,0.064,0.649,-0.209,0.648,3,0,489,2.08,1565323
Matt Kuchar,USA,2020,70.312,3.79,282.9,213.0,64.98,60.91,0.677,0.014,0.687,-0.039,0.015,-0.01,1,0,502,3.87,1515585
Kevin Kisner,USA,2020,70.36,3.79,289.2,193.0,65.37,63.96,0.757,0.234,0.559,0.058,-0.093,0.199,4,0,710,3.45,2266752
Joaquin Niemann,CHI,2020,70.364,3.92,301.7,205.0,69.3,57.86,0.502,0.562,-0.242,0.37,-0.188,0.744,4,1,878,2.35,2914136
Paul Casey,ENG,2020,70.373,3.64,307.2,75.0,70.63,60.14,0.431,0.631,-0.383,0.546,-0.363,0.814,1,0,559,4.13,1868952
Zach Johnson,USA,2020,70.388,3.77,285.9,235.0,68.03,62.11,0.466,0.287,0.369,-0.092,-0.098,0.097,1,0,337,0.95,777727
Adam Long,USA,2020,70.41,3.78,292.0,211.0,67.74,60.67,0.533,0.358,0.226,0.004,-0.055,0.307,3,0,912,1.82,2186913
Mark Hubbard,USA,2020,70.414,3.74,290.1,213.0,66.67,60.85,0.508,0.204,0.413,-0.044,-0.065,0.095,3,0,701,1.27,1840473
Joel Dahmen,USA,2020,70.415,3.68,295.4,153.0,63.85,60.51,0.588,0.336,-0.063,0.356,-0.04,0.652,5,0,720,2.11,2120973
J.T. Poston,USA,2020,70.429,3.88,290.2,202.0,64.74,60.4,0.431,-0.366,0.572,0.13,0.095,-0.141,2,0,516,1.93,1282929
Corey Conners,CAN,2020,70.43,3.73,298.7,102.0,71.55,56.2,0.405,0.582,-0.603,0.6,-0.175,1.007,1,0,535,1.97,1498121
Kevin Na,USA,2020,70.43,3.8,286.9,232.0,63.22,65.96,0.691,0.267,0.693,-0.41,0.14,-0.002,4,1,1036,3.03,2794402
Lanto Griffin,USA,2020,70.451,3.87,302.5,187.0,65.52,63.4,0.64,0.152,0.336,0.076,0.077,0.304,4,1,1159,1.96,3188586
Denny McCarthy,USA,2020,70.454,4.22,293.8,210.0,67.46,56.98,0.469,-0.243,0.988,-0.139,-0.137,-0.518,4,0,489,0.94,1178557
Doc Redman,USA,2020,70.477,3.94,297.4,108.0,70.8,57.54,0.594,0.584,-0.004,0.346,-0.332,0.598,1,0,514,1.52,1129549
Sebastián Muñoz,COL,2020,70.485,4.05,302.3,138.0,66.34,62.48,0.691,0.308,0.055,0.218,0.11,0.636,5,1,1045,1.86,2864142
Louis Oosthuizen,RSA,2020,70.493,3.58,300.1,164.0,65.28,58.0,-0.06,-0.126,0.258,0.075,-0.268,-0.318,2,0,354,3.9,1312138
Rickie Fowler,USA,2020,70.499,3.93,294.9,154.0,66.54,60.38,0.71,0.099,0.217,0.172,0.222,0.493,2,0,381,2.85,947309
Carlos Ortiz,MEX,2020,70.528,3.71,300.3,233.0,66.74,62.65,0.458,0.122,0.095,-0.087,0.327,0.363,3,0,630,1.14,1631474
Cameron Tringale,USA,2020,70.534,3.89,301.9,221.0,69.66,64.24,0.788,0.632,0.086,-0.125,0.195,0.702,1,0,381,0.95,911172
Talor Gooch,USA,2020,70.535,3.83,298.2,212.0,67.07,57.32,0.423,0.113,0.313,-0.019,0.016,0.11,2,0,508,1.19,1398171
Brooks Koepka,USA,2020,70.546,3.9,307.0,201.0,66.81,51.46,0.42,0.322,-0.236,0.362,-0.028,0.656,2,0,360,6.1,1123227
Byeong Hun An,KOR,2020,70.568,3.83,305.7,197.0,65.78,60.61,0.055,0.256,-0.525,-0.05,0.373,0.58,5,0,765,2.21,2283951
Richy Werenski,USA,2020,70.573,3.89,298.1,221.0,66.67,59.52,0.484,0.038,0.485,-0.13,0.091,-0.001,3,1,703,1.28,1716407
Sergio Garcia,ESP,2020,70.574,3.84,305.8,120.0,68.31,59.36,0.583,0.181,-0.754,0.848,0.308,1.336,1,0,241,2.47,658935
Mackenzie Hughes,CAN,2020,70.589,3.71,298.7,240.0,63.41,60.52,0.392,-0.39,0.681,-0.352,0.454,-0.289,4,0,597,2.22,2079951
Justin Rose,ENG,2020,70.589,4.0,299.6,171.0,63.16,57.54,0.318,0.233,-0.025,0.218,-0.108,0.343,2,0,313,4.21,965656
Tom Hoge,USA,2020,70.605,3.77,290.4,245.0,65.62,60.48,0.401,0.389,0.046,0.062,-0.095,0.355,3,0,716,1.16,1857073
Nick Taylor,CAN,2020,70.607,3.56,296.6,147.0,66.95,56.98,0.073,0.052,-0.043,0.094,-0.03,0.116,2,1,720,1.41,1897539
Danny Lee,NZL,2020,70.609,4.06,302.0,193.0,65.62,59.72,-0.088,0.238,-0.195,0.165,-0.296,0.107,3,0,588,1.5,2043764
Adam Hadwin,CAN,2020,70.61,3.65,294.0,167.0,68.29,58.49,0.573,0.262,0.185,-0.004,0.13,0.389,3,0,654,2.05,1710808
Jason Kokrak,USA,2020,70.617,3.66,312.4,145.0,68.64,59.14,0.293,0.168,-0.282,0.633,-0.227,0.574,3,0,376,2.25,1494604
Dylan Frittelli,RSA,2020,70.63,3.76,291.3,234.0,65.79,61.78,0.245,0.043,-0.111,0.046,0.267,0.356,3,0,604,1.53,1507497
Cam Davis,AUS,2020,70.639,4.14,308.0,142.0,69.25,61.06,0.56,0.213,0.005,0.211,0.131,0.556,2,0,374,0.84,857225
Cameron Smith,AUS,2020,70.643,3.86,299.8,240.0,64.06,59.18,0.146,0.02,0.28,-0.245,0.091,-0.134,2,1,807,2.37,2372487
Ryan Moore,USA,2020,70.707,3.89,289.9,168.0,68.56,59.04,0.559,0.37,0.033,0.291,-0.136,0.526,2,0,360,1.23,957540
Charles Howell III,USA,2020,70.716,3.67,301.1,228.0,68.76,57.47,0.177,-0.3,0.217,-0.132,0.392,-0.04,3,0,492,1.63,1371807
Matthew Wolff,USA,2020,70.726,3.86,311.6,129.0,66.82,57.01,0.491,0.099,0.123,0.607,-0.337,0.369,2,0,739,2.93,2224348
Scott Stallings,USA,2020,70.727,3.88,297.6,235.0,69.65,59.84,0.208,0.309,0.019,-0.191,0.072,0.189,2,0,296,0.8,664849
Brandt Snedeker,USA,2020,70.731,3.79,288.5,238.0,65.93,63.08,0.192,-0.336,0.347,-0.333,0.514,-0.155,1,0,358,1.91,896750
Kevin Streelman,USA,2020,70.738,3.82,293.9,155.0,67.66,55.76,0.414,0.25,-0.084,0.246,0.002,0.498,4,0,909,2.38,2520845
Sam Burns,USA,2020,70.778,3.9,312.0,173.0,66.95,57.1,0.329,-0.179,0.409,0.493,-0.394,-0.08,1,0,345,0.98,757500
Maverick McNealy,USA,2020,70.79,4.05,296.6,231.0,65.86,62.53,0.244,-0.391,0.663,0.025,-0.053,-0.419,3,0,523,0.97,1293984
Henrik Norlander,SWE,2020,70.798,3.84,292.1,149.0,70.65,56.78,0.281,0.364,-0.004,0.125,-0.204,0.285,3,0,483,1.07,1175431
Bronson Burgoon,USA,2020,70.809,4.15,294.6,232.0,66.88,59.49,0.268,0.055,0.363,-0.067,-0.083,-0.095,1,0,255,0.55,589539
Matt Jones,AUS,2020,70.817,3.76,297.3,214.0,66.23,58.01,-0.129,-0.438,0.061,0.159,0.089,-0.19,2,0,388,1.53,996369
Vaughn Taylor,USA,2020,70.827,3.89,281.6,205.0,63.75,58.54,-0.058,-0.155,0.294,-0.043,-0.155,-0.352,2,0,442,1.25,1148779
Tyler Duncan,USA,2020,70.84,3.7,286.3,179.0,67.54,58.56,0.042,0.3,-0.132,0.075,-0.202,0.174,1,1,736,1.12,1799855
Harry Higgs,USA,2020,70.852,3.66,301.0,135.0,66.06,60.55,-0.122,-0.361,0.08,0.307,-0.148,-0.202,2,0,465,1.26,1251570
Pat Perez,USA,2020,70.853,3.62,290.3,213.0,70.51,59.25,0.272,0.252,0.253,-0.163,-0.069,0.019,2,0,421,1.04,1010905
Jordan Spieth,USA,2020,70.856,3.87,301.6,236.0,62.37,57.86,0.137,0.082,0.004,-0.279,0.33,0.134,3,0,354,2.02,1138146
Cameron Champ,USA,2020,70.868,4.04,322.0,156.0,67.7,57.99,0.39,-0.143,-0.173,0.999,-0.293,0.563,2,1,951,1.87,2290839
Patrick Rodgers,USA,2020,70.869,3.77,308.5,197.0,66.97,58.23,0.386,-0.465,0.657,0.211,-0.018,-0.271,1,0,431,0.87,1015849
Jhonattan Vegas,VEN,2020,70.883,4.06,309.0,90.0,70.22,54.48,0.079,-0.148,-0.347,0.721,-0.146,0.426,1,0,235,1.01,527009
Brian Stuard,USA,2020,70.885,3.68,281.5,193.0,65.09,62.28,0.252,0.083,0.114,-0.245,0.3,0.138,2,0,438,1.06,1002095
Aaron Wise,USA,2020,70.899,3.93,301.5,162.0,72.1,56.19,-0.369,0.104,-0.479,0.016,-0.01,0.11,2,0,175,0.8,355972
Nick Watney,USA,2020,70.902,4.0,302.3,205.0,70.2,55.51,0.276,0.416,0.132,-0.433,0.162,0.145,1,0,253,0.6,534797
Max Homa,USA,2020,70.942,3.66,300.6,188.0,64.6,59.87,0.279,0.115,0.14,0.272,-0.248,0.14,4,0,526,1.77,1453056
Emiliano Grillo,ARG,2020,70.963,3.77,295.7,138.0,71.54,53.15,-0.182,0.58,-0.905,0.25,-0.107,0.723,3,0,373,1.15,849538
Kyle Stanley,USA,2020,71.008,3.83,285.1,182.0,72.54,58.78,0.074,0.335,-0.323,0.048,0.014,0.397,1,0,246,0.83,490359
Phil Mickelson,USA,2020,71.009,3.76,301.5,233.0,63.51,60.6,0.147,-0.129,-0.083,-0.02,0.379,0.23,2,0,488,2.31,1493908
Chez Reavie,USA,2020,71.043,3.4,284.4,187.0,67.24,61.01,0.278,0.44,-0.291,-0.107,0.237,0.569,2,0,408,2.59,1123769
