PLAYER,Country,Year,ScoringAvg,BirdieAvg,DrivingDistance,TotalDriving,GIR%,Scrambling,SG_Total,SG_ApproachGreen,SG_Putting,SG_OffTee,SG_AroundGreen,SG_TeeToGreen,Top10Finishes,#Wins,FedExCupPoints,WorldRank,Money
Cameron Tringale,USA,2017,71.343,3.47,280.9,296.0,64.39,58.83,-0.14,0.089,0.125,-0.75,0.396,-0.265,3,0,337,0.67,792814
Søren Kjeldsen,DEN,2017,71.39,3.35,273.6,197.0,62.02,51.64,-0.182,-0.09,0.473,-0.424,-0.142,-0.655,1,0,283,1.58,722913
Johnson Wagner,USA,2017,71.429,3.3,288.1,194.0,66.93,55.73,-0.336,-0.088,0.12,-0.081,-0.287,-0.456,2,0,321,0.66,685306
Smylie Kaufman,USA,2017,71.432,3.65,304.8,189.0,65.26,55.18,-0.177,-0.059,-0.137,0.091,-0.073,-0.04,1,0,316,0.9,784758
Patrick Rodgers,USA,2017,71.432,3.3,306.3,194.0,65.84,53.63,-0.716,-0.529,-0.066,-0.044,-0.077,-0.65,3,0,639,1.09,1346322
Alex Cejka,GER,2017,71.461,3.05,282.1,188.0,66.45,61.08,-0.452,-0.2,-0.359,-0.02,0.127,-0.093,1,0,276,0.72,618171
Aaron Baddeley,AUS,2017,71.483,3.49,292.6,275.0,62.57,59.9,-0.172,0.256,0.044,-0.782,0.31,-0.216,2,0,325,1.04,755356
Dominic Bozzelli,USA,2017,71.49,3.57,294.4,226.0,61.97,57.75,-0.449,-0.342,-0.033,0.051,-0.125,-0.417,3,0,394,0.93,868519
Kelly Kraft,USA,2017,71.491,3.35,291.9,200.0,63.15,53.5,-0.681,0.159,-0.157,-0.205,-0.479,-0.524,3,0,672,0.95,1638045
Derek Fathauer,USA,2017,71.568,3.68,286.5,300.0,62.81,53.78,-0.647,-0.136,0.094,-0.456,-0.149,-0.74,2,0,408,0.65,898491
Cody Gribble,USA,2017,71.581,3.64,297.2,225.0,62.7,54.74,-0.524,-0.586,0.461,-0.338,-0.061,-0.985,2,1,514,0.69,1305554
Patton Kizzire,USA,2017,71.598,3.59,293.0,270.0,63.52,54.31,-0.578,0.29,-0.103,-0.744,-0.021,-0.475,3,0,519,0.67,1110395
Chad Collins,USA,2017,71.77,3.13,281.4,281.0,60.93,63.07,-0.454,-0.254,0.079,-0.573,0.294,-0.533,2,0,305,0.72,693743
Rod Pampling,AUS,2017,71.861,3.1,287.8,218.0,64.01,52.83,-0.677,-0.231,-0.518,-0.11,0.183,-0.158,1,1,630,0.86,1539422
Rick Lamb,USA,2017,71.978,3.46,298.0,98.0,66.89,54.03,-0.824,-0.578,-0.254,0.686,-0.678,-0.57,1,0,269,0.65,524372
Si Woo Kim,KOR,2017,72.253,3.11,289.8,260.0,59.63,55.41,-0.965,-0.447,-0.392,-0.236,0.11,-0.573,2,1,839,2.88,2681177
Dustin Johnson,USA,2018,68.698,4.7,314.0,131.0,70.57,62.5,2.372,0.829,0.385,0.919,0.238,1.987,12,3,2717,10.36,8457352
Justin Rose,ENG,2018,68.993,4.53,303.5,67.0,69.95,63.03,1.952,0.526,0.424,0.551,0.45,1.527,11,2,1991,10.11,8130678
Justin Thomas,USA,2018,69.118,4.34,311.8,149.0,68.77,62.47,1.835,0.844,0.272,0.408,0.311,1.563,10,3,2634,9.46,8694821
Webb Simpson,USA,2018,69.293,3.59,293.7,207.0,67.93,66.1,1.432,0.486,0.692,-0.116,0.37,0.741,9,1,1710,4.92,5376417
Rory McIlroy,NIR,2018,69.303,4.0,319.7,164.0,66.3,62.97,1.412,0.269,0.06,0.761,0.322,1.351,7,1,1154,7.3,4410296
Tommy Fleetwood,ENG,2018,69.342,4.32,306.9,72.0,69.36,55.77,1.606,0.405,0.324,0.58,0.296,1.282,6,0,1130,5.92,3935147
Tiger Woods,USA,2018,69.35,4.03,303.6,159.0,67.4,64.16,1.596,0.883,0.266,0.061,0.385,1.33,7,1,1162,5.8,5443841
Rickie Fowler,USA,2018,69.435,4.0,299.8,101.0,69.52,63.05,1.275,0.494,0.296,0.244,0.242,0.98,6,0,1302,6.63,4235237
Brooks Koepka,USA,2018,69.444,4.19,313.4,163.0,68.28,63.28,1.22,0.232,0.168,0.658,0.162,1.052,6,2,2012,9.8,7094047
Tony Finau,USA,2018,69.52,4.13,315.1,178.0,70.18,57.22,1.435,0.5,0.232,0.481,0.222,1.203,11,0,1509,4.88,5620138
